longitude,latitude,YR,MO,X,Y,TOT,CR
-73.75945485,40.71346883,2014,6,1050935,199304,1,ROBBERY
-74.00125175,40.71633589,2014,2,983903,200257,1,FELONY ASSAULT
-73.99383875,40.71548761,2014,1,985958,199948,1,FELONY ASSAULT
-73.96740019,40.7981137,2014,1,993276,230053,1,FELONY ASSAULT
-73.79788439,40.70206134,2014,1,1040291,195121,1,ROBBERY
-73.79530536,40.70216932,2014,1,1041006,195162,1,FELONY ASSAULT
-73.75371782,40.71096994,2014,2,1052528,198398,2,FELONY ASSAULT
-73.85443597,40.68859856,2014,1,1024619,190185,1,FELONY ASSAULT
-73.87806358,40.75446461,2014,1,1018033,214172,1,ROBBERY
-73.80825846,40.75669162,2014,1,1037371,215018,1,ROBBERY
-74.12525327,40.62766632,2014,1,949482,167977,1,ROBBERY
-73.91157683,40.83064229,2014,2,1008720,241915,1,ROBBERY
-73.8048849,40.75376554,2014,1,1038308,213954,1,ROBBERY
-73.92551379,40.83749196,2014,2,1004861,244407,1,FELONY ASSAULT
-73.90163634,40.81329585,2014,2,1011478,235598,1,ROBBERY
-73.95821488,40.69546811,2014,2,995837,192657,1,ROBBERY
-73.96106568,40.66752183,2014,2,995051,182475,1,FELONY ASSAULT
-73.9325043,40.66887552,2014,2,1002974,182973,1,ROBBERY
-73.88077704,40.64803083,2014,2,1017334,175394,1,FELONY ASSAULT
-73.95130145,40.67616965,2014,2,997758,185627,1,ROBBERY
-73.96835327,40.63945318,2014,2,993033,172248,2,ROBBERY
-73.9297707,40.64603181,2014,2,1003739,174651,1,ROBBERY
-73.89701029,40.65112891,2014,2,1012828,176517,1,ROBBERY
-73.98477688,40.7012387,2014,2,988471,194757,1,FELONY ASSAULT
-73.94235909,40.79893555,2014,2,1000209,230356,1,ROBBERY
-73.7929891,40.69895379,2014,2,1041651,193992,1,ROBBERY
-73.8311703,40.66042455,2014,2,1031091,179932,3,FELONY ASSAULT
-73.83057958,40.68865374,2014,2,1031235,190217,1,FELONY ASSAULT
-73.74886705,40.70886245,2014,2,1053875,197634,1,FELONY ASSAULT
-73.82702093,40.67741133,2014,2,1032230,186123,1,FELONY ASSAULT
-73.8344567,40.69848293,2014,2,1030153,193796,1,FELONY ASSAULT
-73.82238394,40.68983811,2014,2,1033507,190653,1,ROBBERY
-73.82729702,40.58054247,2014,2,1032223,150831,1,FELONY ASSAULT
-74.21688536,40.54933312,2014,2,923976,139488,1,FELONY ASSAULT
-74.15777622,40.58006438,2014,2,940423,150649,1,FELONY ASSAULT
-73.88143733,40.83008002,2014,2,1017061,241720,1,FELONY ASSAULT
-74.0002126,40.64447775,2014,1,984191,174077,1,ROBBERY
-73.91132724,40.83625778,2014,2,1008787,243961,1,ROBBERY
-73.87499935,40.83516467,2014,2,1018840,243575,1,FELONY ASSAULT
-73.90673983,40.83728892,2014,2,1010056,244338,1,ROBBERY
-73.95536877,40.8044198,2014,1,996606,232352,1,ROBBERY
-73.93233667,40.67065952,2014,2,1003020,183623,1,FELONY ASSAULT
-73.92019903,40.66467636,2014,2,1006389,181446,1,ROBBERY
-73.97639644,40.67774754,2014,2,990797,186199,1,FELONY ASSAULT
-73.90957852,40.69505316,2014,2,1009324,192516,1,ROBBERY
-73.90287626,40.62956273,2014,2,1011209,168658,1,FELONY ASSAULT
-73.90746103,40.67733671,2014,2,1009918,186062,1,FELONY ASSAULT
-73.93703439,40.6929525,2014,2,1001711,191744,1,FELONY ASSAULT
-73.98596253,40.75690798,2014,2,988139,215039,1,FELONY ASSAULT
-73.9932911,40.74478509,2014,2,986109,210622,1,FELONY ASSAULT
-73.95717141,40.77043795,2014,2,996113,219971,1,ROBBERY
-73.76444266,40.68107156,2014,2,1049584,187497,1,ROBBERY
-73.93712619,40.76003716,2014,2,1001668,216185,1,FELONY ASSAULT
-73.81727961,40.71161263,2014,2,1034906,198589,1,ROBBERY
-73.98979219,40.75723227,2014,1,987078,215157,1,ROBBERY
-73.92017749,40.85134916,2014,2,1006333,249457,1,FELONY ASSAULT
-73.91989789,40.85240842,2014,2,1006410,249843,1,FELONY ASSAULT
-73.86122618,40.83912875,2014,2,1022649,245025,1,ROBBERY
-73.91660826,40.84683434,2014,2,1007322,247813,1,FELONY ASSAULT
-73.87964058,40.82854661,2014,2,1017559,241162,1,ROBBERY
-73.87964058,40.82854661,2014,2,1017559,241162,1,FELONY ASSAULT
-73.92417488,40.80733212,2014,2,1005241,233419,1,ROBBERY
-73.82954039,40.87793484,2014,2,1031389,259179,1,FELONY ASSAULT
-73.86557681,40.7106581,2014,1,1021517,198217,1,ROBBERY
-73.95121417,40.65256451,2014,2,997787,177027,1,ROBBERY
-73.961688,40.64466899,2014,2,994882,174149,1,FELONY ASSAULT
-73.95489036,40.65755603,2014,2,996766,178845,1,FELONY ASSAULT
-73.95697211,40.66540689,2014,2,996187,181705,2,FELONY ASSAULT
-73.91180575,40.67701899,2014,2,1008713,185945,1,FELONY ASSAULT
-73.99589165,40.59276305,2014,2,985391,155236,1,FELONY ASSAULT
-73.91521276,40.67978554,2014,2,1007767,186952,1,FELONY ASSAULT
-73.85399664,40.6866849,2014,1,1024742,189488,1,ROBBERY
-73.96310574,40.64181213,2014,2,994489,173108,1,ROBBERY
-73.89958492,40.65730969,2014,2,1012111,178768,1,RAPE
-73.94912617,40.77721418,2014,2,998340,222441,1,ROBBERY
-73.94784628,40.80706804,2014,2,998688,233318,2,ROBBERY
-73.94504,40.81090935,2014,2,999464,234718,1,FELONY ASSAULT
-73.94714605,40.78818399,2014,2,998886,226438,1,ROBBERY
-73.84046689,40.68108131,2014,1,1028498,187453,1,ROBBERY
-73.79146753,40.70346071,2014,2,1042069,195635,1,FELONY ASSAULT
-73.76776277,40.69674552,2014,2,1048648,193205,1,FELONY ASSAULT
-73.7938807,40.69752262,2014,2,1041405,193470,1,FELONY ASSAULT
-73.81257409,40.73023927,2014,2,1036196,205378,1,ROBBERY
-74.13877682,40.63612945,2014,2,945733,171066,1,RAPE
-73.8896342,40.85317391,2014,1,1014782,250131,1,FELONY ASSAULT
-73.89106846,40.86911376,2014,2,1014378,255938,1,FELONY ASSAULT
-73.92070621,40.82627385,2014,2,1006195,240321,1,FELONY ASSAULT
-73.86364917,40.84892203,2014,2,1021973,248592,1,FELONY ASSAULT
-73.88475934,40.84399359,2014,2,1016135,246788,1,FELONY ASSAULT
-73.83018098,40.88197323,2014,2,1031209,260650,1,FELONY ASSAULT
-73.85235045,40.83413059,2014,2,1025108,243208,1,FELONY ASSAULT
-73.95823415,40.73377949,2014,2,995825,206615,1,FELONY ASSAULT
-73.94235888,40.70741472,2014,2,1000231,197012,1,ROBBERY
-73.96329363,40.71946457,2014,2,994425,201399,1,FELONY ASSAULT
-73.90336325,40.63907658,2014,1,1011070,172124,1,ROBBERY
-73.93735349,40.70642399,2014,2,1001619,196652,1,RAPE
-73.9986243,40.60483199,2014,2,984632,159633,1,ROBBERY
